Frame,Milliseconds,X,Y
1,0,446,301
2,33,446,301
3,67,451,301
4,100,451,301
5,133,452,301
6,167,452,301
7,200,452,301
8,233,456,305
9,267,455,304
10,300,455,304
11,333,455,304
12,367,455,304
13,400,447,302
14,433,453,303
15,467,453,304
16,500,454,305
17,533,454,305
18,567,454,304
19,600,452,307
20,633,452,306
21,667,452,307
22,700,452,306
23,733,450,310
24,767,447,303
25,800,450,310
26,833,450,311
27,867,451,311
28,900,451,310
29,933,451,314
30,967,451,315
31,1000,451,315
32,1033,451,314
33,1067,451,314
34,1100,451,318
35,1133,447,303
36,1167,451,319
37,1200,451,319
38,1233,451,319
39,1267,451,319
40,1300,453,318
41,1333,453,318
42,1367,453,318
43,1400,453,318
44,1433,453,318
45,1467,454,319
46,1500,453,304
47,1533,454,319
48,1567,454,319
49,1600,454,319
50,1633,458,313
51,1667,457,313
52,1700,457,312
53,1733,457,312
54,1767,458,311
55,1800,455,310
56,1833,455,309
57,1867,452,302
58,1900,452,302
59,1933,452,301
60,1967,452,302
